title,price,reviews,rating,company,customerreviews,link
Maniac Men's Cotton T-Shirt (Mens-Ss18-Rn-Fs-Checked-Tshirt),425.0,801,3.2,Maniac,3.2 out of 5 stars,https://www.amazon.in/Maniac-Fullsleeve-Checked-Cotton-T-Shirt/dp/B07B6RWRV6/ref=sr_1_17?keywords=Shirts&qid=1559924489&s=gateway&sr=8-17
Park Avenue Men's Plain Regular Fit Formal Shirt,1115.0,1,4.0,,4.0 out of 5 stars,https://www.amazon.in/dp/B07GQ8BWTB?aaxitk=1Rlle2cR5GpzoMovza.LBg&pd_rd_i=B07GQ8BWTB&pf_rd_p=ddc78b0d-0a78-403f-9399-68105b975bab&hsa_cr_id=7280274540102&sb-ci-n=price&sb-ci-v=1%2C197.00&sb-ci-m=%E2%82%B9
IndoPrimo Men's Cotton Casual Shirt for Men Full Sleeves,,172,3.3,IndoPrimo,3.3 out of 5 stars,https://www.amazon.in/IndoPrimo-Cotton-Casual-Sleeves-Medium/dp/B07H1KLR44/ref=sr_1_9?keywords=Shirts&qid=1559924489&s=gateway&sr=8-9
Dennis Lingo Men's Solid Chinese Collar Brown Casual Shirt,549.0,80,4.0,Dennis Lingo,4.0 out of 5 stars,https://www.amazon.in/Dennis-Lingo-Solid-Casual-CC201_Brown_M_Brown_M/dp/B07D9VFKR5/ref=sr_1_54?keywords=Shirts&qid=1559924489&s=gateway&sr=8-54
LionRoar Men's Polka Print Full Sleeves Formal Shirt,695.0,24,4.0,Lion,4.0 out of 5 stars,https://www.amazon.in/Lion-LionRoar-Cotton-Sleeves-Formal/dp/B07MY5ZT1S/ref=sr_1_30?keywords=Shirts&qid=1559924489&s=gateway&sr=8-30
Diverse Men's Checkered Regular Fit Cotton Formal Shirt,349.0,212,3.7,,3.7 out of 5 stars,https://www.amazon.in/Diverse-Checkered-Regular-Cotton-DVF07F1L01-209-46_Red/dp/B0756FY19X/ref=sr_1_29?keywords=Shirts&qid=1559924489&s=gateway&sr=8-29
Dennis Lingo Men's Solid Chinese Collar Green Casual Shirt,538.0,176,3.9,Dennis Lingo,3.9 out of 5 stars,https://www.amazon.in/Dennis-Lingo-Plain-Casual-CC201_Green_Medium/dp/B01N4LJCKY/ref=sr_1_50?keywords=Shirts&qid=1559924489&s=gateway&sr=8-50
Amazon Brand - Symbol Men's Solid Formal Shirt (Pack of 2),536.0,203,4.1,,4.1 out of 5 stars,https://www.amazon.in/Amazon-Brand-Regular-SS18-SMFS-213_Beige-Green_42/dp/B07DDLX1JL/ref=sr_1_25?keywords=Shirts&qid=1559924489&s=gateway&sr=8-25
Human Steps Men's Formal Cotton Shirt,479.0,1,5.0,Human Steps,5.0 out of 5 stars,https://www.amazon.in/Human-Steps-Solid-Formal-Maroon/dp/B06WW9J8QM/ref=sr_1_56?keywords=Shirts&qid=1559924489&s=gateway&sr=8-56
Dennis Lingo Men's Solid Chinese Collar Blue Casual Shirt,549.0,68,3.7,Dennis Lingo,3.7 out of 5 stars,https://www.amazon.in/Dennis-Lingo-Solid-Casual-CC201_P-Blue_L_P-Blue_L/dp/B07D9V9QDY/ref=sr_1_41?keywords=Shirts&qid=1559924489&s=gateway&sr=8-41
