title,price,reviews,rating,company,customerreviews,link
ETHICS Perfect Ultra Lite Sport Shoes for Men,399.0,396,3.2,ETHICS,3.2 out of 5 stars,https://www.amazon.in/Ethics-Mens-Sports-Shoe-Navy/dp/B0796WZFLB/ref=sr_1_11?keywords=Shoes&qid=1559396013&s=gateway&sr=8-11
"layasa Men's Air Series Mesh Casual,Walking,Running/Gymwear Shoes",299.0,274,3.3,layasa,3.3 out of 5 stars,https://www.amazon.in/Layasa-Running-Sports-Shoes-Black/dp/B07MGLJWSK/ref=sr_1_4?keywords=Shoes&qid=1559396013&s=gateway&sr=8-4
Boltte Chelsie's Casual and Comfortable Eva Sports Running/Walking//Walking/Training and Gym Shoes for Men/Boys-,349.0,8,3.1,BADLAV,3.1 out of 5 stars,https://www.amazon.in/Boltte-Comfortable-Running-Walking-Training/dp/B07QL36DXR/ref=sr_1_24?keywords=Shoes&qid=1559396013&s=gateway&sr=8-24
Sparx Men's Sm-323 Dip Canvas Shoes - Black,550.05,2400,4.3,,4.3 out of 5 stars,https://www.amazon.in/Sparx-Mens-Sneakers-8-India-SD0323G/dp/B077N7DDL1/ref=sr_1_9?keywords=Shoes&qid=1559396013&s=gateway&sr=8-9
Sklodge Men Tan Brown Black Colour Outdoor Formal Casual Ethnic Loafer Sandal Shoe,,4,4.1,Sklodge,4.1 out of 5 stars,https://www.amazon.in/Sklodge-Colour-Outdoor-Formal-Casual/dp/B07QY8TJRG/ref=sr_1_22?keywords=Shoes&qid=1559396013&s=gateway&sr=8-22
Sparx Men's Running Shoes,710.0,1099,4.2,,4.2 out of 5 stars,https://www.amazon.in/Sparx-Mens-Orange-Running-Shoes/dp/B01N8TVC4G/ref=sr_1_25?keywords=Shoes&qid=1559396013&s=gateway&sr=8-25
ESSENCE Men's Synthetic High Top Shoes,499.0,422,3.6,ESSENCE,3.6 out of 5 stars,https://www.amazon.in/ESSENCE-Mens-Black-High-Shoes-7/dp/B078S8TFKT/ref=sr_1_42?keywords=Shoes&qid=1559396013&s=gateway&sr=8-42
Lancer Men's Running Shoes,480.0,841,4.0,,4.0 out of 5 stars,https://www.amazon.in/Lancer-Black-Running-Shoes-9-INDUS-12BLK-SGRN-9/dp/B07D9N57KF/ref=sr_1_32?keywords=Shoes&qid=1559396013&s=gateway&sr=8-32
Lancer Men's Mesh Sports Running Shoes,420.0,544,3.3,,3.3 out of 5 stars,https://www.amazon.in/Lancer-HYDRA-46-Gray-Blue-9-Mens-Running-Shoes/dp/B0753BXM4Y/ref=sr_1_51?keywords=Shoes&qid=1559396013&s=gateway&sr=8-51
Walkinglite Perfect Red Blue Sport Shoes for Men's Running Shoes Panther Pro Series Multicolored Casual Sports Shoes Men's,300.0,11,1.8,Walkinglite,1.8 out of 5 stars,https://www.amazon.in/Walkinglite-Perfect-Running-Panther-Multicolored/dp/B07GJDBXX1/ref=sr_1_21?keywords=Shoes&qid=1559396013&s=gateway&sr=8-21
Red Rose Casual Sneakers Shoe's for Men's.,299.0,57,2.8,Red Rose,2.8 out of 5 stars,https://www.amazon.in/Red-Rose-Casual-Sneakers-Shoes/dp/B07L871VGC/ref=sr_1_36?keywords=Shoes&qid=1559396013&s=gateway&sr=8-36
